source,url,status,raw_lines,nonempty_lines,valid_lines,invalid_lines,valid_ratio,invalid_ratio,unique_selected,prune_action,reason,in_denylist,newly_denied,error
uouin,https://bestcf.pages.dev/uouin/all.txt,ok,42,42,42,0,1.000000,0.000000,42,keep,has parseable candidates,False,False,
wetest,https://bestcf.pages.dev/wetest/ipv4.txt,ok,17,17,17,0,1.000000,0.000000,15,keep,has parseable candidates,False,False,
cfyes_ipv4,https://bestcf.pages.dev/cfyes/ipv4.txt,ok,17,17,17,0,1.000000,0.000000,10,keep,has parseable candidates,False,False,
cfyes_ipv6,https://bestcf.pages.dev/cfyes/ipv6.txt,ok,17,17,17,0,1.000000,0.000000,5,keep,has parseable candidates,False,False,
moistr,https://bestcf.pages.dev/moistr/all.txt,ok,38,38,38,0,1.000000,0.000000,36,keep,has parseable candidates,False,False,
xinyitang3,https://bestcf.pages.dev/xinyitang3/ipv4.txt,ok,44,44,44,0,1.000000,0.000000,42,keep,has parseable candidates,False,False,
luoli,https://bestcf.pages.dev/luoli/all.txt,ok,37,37,37,0,1.000000,0.000000,25,keep,has parseable candidates,False,False,
gslege,https://bestcf.pages.dev/gslege/Cfxyz.txt,ok,4,4,4,0,1.000000,0.000000,2,keep,sample_too_small nonempty=4 min_lines=5,False,False,
gslege_jp,https://bestcf.pages.dev/gslege/JP.txt,ok,21,21,21,0,1.000000,0.000000,19,keep,has parseable candidates,False,False,
gslege_us,https://bestcf.pages.dev/gslege/US.txt,ok,22,22,22,0,1.000000,0.000000,20,keep,has parseable candidates,False,False,
gslege_sg,https://bestcf.pages.dev/gslege/SG.txt,ok,22,22,22,0,1.000000,0.000000,20,keep,has parseable candidates,False,False,
domain_all,https://bestcf.pages.dev/domain/all.txt,ok,82,82,82,0,1.000000,0.000000,80,keep,has parseable candidates,False,False,
domain_mini,https://bestcf.pages.dev/domain/mini.txt,ok,16,16,16,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
domain_asia,https://bestcf.pages.dev/domain/Domain-Asia.txt,ok,85,85,85,0,1.000000,0.000000,79,keep,has parseable candidates,False,False,
domain_ai_vps789,https://bestcf.pages.dev/domain/Domain-AI-VPS789.txt,ok,102,102,102,0,1.000000,0.000000,86,keep,has parseable candidates,False,False,
domain_ygkkk_all,https://bestcf.pages.dev/domain/ygkkk/all.txt,ok,15,15,15,0,1.000000,0.000000,8,keep,has parseable candidates,False,False,
domain_qms_all,https://bestcf.pages.dev/domain/qms/all.txt,ok,9,9,9,0,1.000000,0.000000,3,keep,has parseable candidates,False,False,
domain_fiatnorm_all,https://bestcf.pages.dev/domain/fiatnorm/all.txt,ok,4,4,4,0,1.000000,0.000000,2,keep,sample_too_small nonempty=4 min_lines=5,False,False,
domain_senflare_all,https://bestcf.pages.dev/domain/senflare/all.txt,ok,4,4,1,3,0.250000,0.750000,1,keep,sample_too_small nonempty=4 min_lines=5,False,False,
domain_wuya_all,https://bestcf.pages.dev/domain/wuya/all.txt,ok,45,45,45,0,1.000000,0.000000,43,keep,has parseable candidates,False,False,
domain_ircf_all,https://bestcf.pages.dev/domain/ircf/all.txt,ok,32,32,32,0,1.000000,0.000000,30,keep,has parseable candidates,False,False,
vps789_top100,https://bestcf.pages.dev/vps789/top100.txt,ok,102,102,102,0,1.000000,0.000000,34,keep,has parseable candidates,False,False,
tiancheng,https://bestcf.pages.dev/tiancheng/all.txt,ok,51,51,51,0,1.000000,0.000000,40,keep,has parseable candidates,False,False,
tiancheng_jp,https://bestcf.pages.dev/tiancheng/jp.txt,ok,11,11,11,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
tiancheng_sg,https://bestcf.pages.dev/tiancheng/sg.txt,ok,12,12,12,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
tiancheng_hk,https://bestcf.pages.dev/tiancheng/hk.txt,ok,11,11,11,0,1.000000,0.000000,9,keep,has parseable candidates,False,False,
tiancheng_kr,https://bestcf.pages.dev/tiancheng/kr.txt,ok,12,12,12,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
tiancheng_us,https://bestcf.pages.dev/tiancheng/us.txt,ok,12,12,12,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
tiancheng2,https://bestcf.pages.dev/tiancheng2/all.txt,ok,122,122,122,0,1.000000,0.000000,116,keep,has parseable candidates,False,False,
s5gy,https://bestcf.pages.dev/s5gy/all.txt,ok,376,376,376,0,1.000000,0.000000,333,keep,has parseable candidates,False,False,
s5gy_jp,https://bestcf.pages.dev/s5gy/jp.txt,ok,22,22,22,0,1.000000,0.000000,20,keep,has parseable candidates,False,False,
s5gy_sg,https://bestcf.pages.dev/s5gy/sg.txt,ok,22,22,22,0,1.000000,0.000000,18,keep,has parseable candidates,False,False,
s5gy_us,https://bestcf.pages.dev/s5gy/us.txt,ok,22,22,22,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
junzhen_bj,https://cf.junzhen.qzz.io/best_ips_bj.txt,ok,40,40,40,0,1.000000,0.000000,25,keep,has parseable candidates,False,False,
love_ztm_best_ips,https://raw.githubusercontent.com/love-ztm/cfip/refs/heads/main/best_ips.txt,ok,3,3,3,0,1.000000,0.000000,0,keep,sample_too_small nonempty=3 min_lines=5,False,False,
gshtwy_wetest_v4,https://raw.githubusercontent.com/gshtwy/CF-DNS-Clone/refs/heads/main/wetest-cloudflare-v4.txt,ok,75,75,75,0,1.000000,0.000000,70,keep,has parseable candidates,False,False,
bestcf_pages_dev_vps789_top10_txt,https://bestcf.pages.dev/vps789/top10.txt,ok,12,12,12,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_vps789_top20_txt,https://bestcf.pages.dev/vps789/top20.txt,ok,22,22,22,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_vps789_top50_txt,https://bestcf.pages.dev/vps789/top50.txt,ok,52,52,52,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_tiancheng_mini_txt,https://bestcf.pages.dev/tiancheng/mini.txt,ok,18,18,18,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_tiancheng_tw_txt,https://bestcf.pages.dev/tiancheng/tw.txt,ok,3,3,3,0,1.000000,0.000000,0,keep,sample_too_small nonempty=3 min_lines=5,False,False,
bestcf_pages_dev_s5gy_mini_txt,https://bestcf.pages.dev/s5gy/mini.txt,ok,247,247,247,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_s5gy_hk_txt,https://bestcf.pages.dev/s5gy/hk.txt,ok,7,7,7,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_s5gy_kr_txt,https://bestcf.pages.dev/s5gy/kr.txt,ok,4,4,4,0,1.000000,0.000000,0,keep,sample_too_small nonempty=4 min_lines=5,False,False,
bestcf_pages_dev_s5gy_tw_txt,https://bestcf.pages.dev/s5gy/tw.txt,ok,3,3,3,0,1.000000,0.000000,1,keep,sample_too_small nonempty=3 min_lines=5,False,False,
bestcf_pages_dev_gslege_DE_txt,https://bestcf.pages.dev/gslege/DE.txt,ok,22,22,22,0,1.000000,0.000000,20,keep,has parseable candidates,False,False,
bestcf_pages_dev_gslege_NL_txt,https://bestcf.pages.dev/gslege/NL.txt,ok,20,20,20,0,1.000000,0.000000,18,keep,has parseable candidates,False,False,
cf_junzhen_qzz_io_best_ips_txt,https://cf.junzhen.qzz.io/best_ips.txt,ok,18,18,18,0,1.000000,0.000000,7,keep,has parseable candidates,False,False,
raw_githubusercontent_com_svip_s_cloudflare_ip_refs_heads_main_best_ips_txt,https://raw.githubusercontent.com/svip-s/cloudflare_ip/refs/heads/main/best_ips.txt,ok,79,79,79,0,1.000000,0.000000,56,keep,has parseable candidates,False,False,
raw_githubusercontent_com_love_ztm_cfip_refs_heads_main_ubest_ips_txt,https://raw.githubusercontent.com/love-ztm/cfip/refs/heads/main/ubest_ips.txt,ok,32,32,32,0,1.000000,0.000000,0,review_redundant,all parseable candidates were already covered by other sources,False,False,
bestcf_pages_dev_zhixuanwang_ipv4_onlyip_txt,https://bestcf.pages.dev/zhixuanwang/ipv4-onlyip.txt,ok,2,2,2,0,1.000000,0.000000,2,keep,sample_too_small nonempty=2 min_lines=5,False,False,
bestcf_pages_dev_vvhan_ipv4_txt,https://bestcf.pages.dev/vvhan/ipv4.txt,ok,32,32,32,0,1.000000,0.000000,16,keep,has parseable candidates,False,False,
bestcf_pages_dev_vvhan_ipv6_txt,https://bestcf.pages.dev/vvhan/ipv6.txt,ok,27,27,27,0,1.000000,0.000000,8,keep,has parseable candidates,False,False,
bestcf_pages_dev_nirevil_ipv4_txt,https://bestcf.pages.dev/nirevil/ipv4.txt,ok,37,37,37,0,1.000000,0.000000,35,keep,has parseable candidates,False,False,
bestcf_pages_dev_nirevil_ipv6_txt,https://bestcf.pages.dev/nirevil/ipv6.txt,ok,7,7,7,0,1.000000,0.000000,5,keep,has parseable candidates,False,False,
raw_githubusercontent_com_ymyuuu_IPDB_refs_heads_main_BestCF_bestcfv4_txt,https://raw.githubusercontent.com/ymyuuu/IPDB/refs/heads/main/BestCF/bestcfv4.txt,ok,10,10,10,0,1.000000,0.000000,10,keep,has parseable candidates,False,False,
