exit_country_code,exit_region_name,host,port,endpoint,source,latency_ms,cf_colo,geo_evidence,geo_cache_status,status,error,raw_line
SG,新加坡,104.21.12.218,8443,104.21.12.218:8443,cfst_sg_8443,726,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.12.218:8443#新加坡|cfst|colo=SIN|tcp=112.87ms|httping=112.57ms
SG,新加坡,172.67.221.40,8443,172.67.221.40:8443,cfst_sg_8443,726,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.221.40:8443#新加坡|cfst|colo=SIN|tcp=111.76ms|httping=113.16ms
SG,新加坡,104.18.58.101,8443,104.18.58.101:8443,cfst_sg_8443,734,,youtube:SG;ping0:SG,disabled,geo_only,,104.18.58.101:8443#新加坡|cfst|colo=SIN|tcp=109.93ms|httping=112.78ms
SG,新加坡,172.67.130.32,8443,172.67.130.32:8443,cfst_sg_8443,738,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.130.32:8443#新加坡|cfst|colo=SIN|tcp=110.08ms|httping=112.64ms
SG,新加坡,104.21.114.236,8443,104.21.114.236:8443,cfst_sg_8443,748,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.114.236:8443#新加坡|cfst|colo=SIN|tcp=110.48ms|httping=111.8ms
SG,新加坡,104.21.122.206,8443,104.21.122.206:8443,cfst_sg_8443,748,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.122.206:8443#新加坡|cfst|colo=SIN|tcp=111.27ms|httping=113.23ms
SG,新加坡,104.21.95.91,8443,104.21.95.91:8443,cfst_sg_8443,752,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.95.91:8443#新加坡|cfst|colo=SIN|tcp=111.96ms|httping=112.16ms
SG,新加坡,104.21.67.227,8443,104.21.67.227:8443,cfst_sg_8443,754,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.67.227:8443#新加坡|cfst|colo=SIN|tcp=112.15ms|httping=111.68ms
SG,新加坡,172.67.240.1,8443,172.67.240.1:8443,cfst_sg_8443,755,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.240.1:8443#新加坡|cfst|colo=SIN|tcp=111.8ms|httping=112.63ms
SG,新加坡,104.21.25.185,8443,104.21.25.185:8443,cfst_sg_8443,758,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.25.185:8443#新加坡|cfst|colo=SIN|tcp=111.58ms|httping=113.02ms
SG,新加坡,104.21.88.239,8443,104.21.88.239:8443,cfst_sg_8443,758,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.88.239:8443#新加坡|cfst|colo=SIN|tcp=111.34ms|httping=111.83ms
SG,新加坡,172.67.128.216,8443,172.67.128.216:8443,cfst_sg_8443,758,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.128.216:8443#新加坡|cfst|colo=SIN|tcp=111.72ms|httping=112.66ms
SG,新加坡,172.67.205.201,8443,172.67.205.201:8443,cfst_sg_8443,758,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.205.201:8443#新加坡|cfst|colo=SIN|tcp=112.25ms|httping=112.13ms
SG,新加坡,104.21.21.209,8443,104.21.21.209:8443,cfst_sg_8443,764,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.21.209:8443#新加坡|cfst|colo=SIN|tcp=112.67ms|httping=111.02ms
SG,新加坡,104.21.7.216,8443,104.21.7.216:8443,cfst_sg_8443,766,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.7.216:8443#新加坡|cfst|colo=SIN|tcp=111.96ms|httping=112.2ms
SG,新加坡,104.18.48.33,8443,104.18.48.33:8443,cfst_sg_8443,767,,youtube:SG;ping0:SG,disabled,geo_only,,104.18.48.33:8443#新加坡|cfst|colo=SIN|tcp=112.12ms|httping=112.47ms
SG,新加坡,104.18.50.242,8443,104.18.50.242:8443,cfst_sg_8443,768,,youtube:SG;ping0:SG,disabled,geo_only,,104.18.50.242:8443#新加坡|cfst|colo=SIN|tcp=112.38ms|httping=110.2ms
SG,新加坡,104.21.91.169,8443,104.21.91.169:8443,cfst_sg_8443,771,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.91.169:8443#新加坡|cfst|colo=SIN|tcp=111.5ms|httping=113.07ms
SG,新加坡,172.67.192.201,8443,172.67.192.201:8443,cfst_sg_8443,775,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.192.201:8443#新加坡|cfst|colo=SIN|tcp=113.13ms|httping=111.34ms
SG,新加坡,172.64.185.118,8443,172.64.185.118:8443,cfst_sg_8443,782,,youtube:SG;ping0:SG,disabled,geo_only,,172.64.185.118:8443#新加坡|cfst|colo=SIN|tcp=113.27ms|httping=113.13ms
SG,新加坡,172.67.209.132,8443,172.67.209.132:8443,cfst_sg_8443,950,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.209.132:8443#新加坡|cfst|colo=SIN|tcp=111.12ms|httping=113.09ms
SG,新加坡,172.67.144.72,8443,172.67.144.72:8443,cfst_sg_8443,954,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.144.72:8443#新加坡|cfst|colo=SIN|tcp=111.31ms|httping=112.83ms
SG,新加坡,172.67.198.213,8443,172.67.198.213:8443,cfst_sg_8443,1112,,youtube:SG;ping0:SG,disabled,geo_only,,172.67.198.213:8443#新加坡|cfst|colo=SIN|tcp=113.1ms|httping=112.37ms
SG,新加坡,104.21.56.105,8443,104.21.56.105:8443,cfst_sg_8443,1119,,youtube:SG;ping0:SG,disabled,geo_only,,104.21.56.105:8443#新加坡|cfst|colo=SIN|tcp=113.19ms|httping=112.27ms
VN,越南,172.64.155.209,8443,172.64.155.209:8443,cfst_hk_8443,487,,youtube:VN;ping0:HK,disabled,geo_only,,172.64.155.209:8443#香港|cfst|colo=HKG|tcp=78.24ms|httping=78.97ms
VN,越南,104.19.192.60,8443,104.19.192.60:8443,cfst_hk_8443,488,,youtube:VN;ping0:HK,disabled,geo_only,,104.19.192.60:8443#香港|cfst|colo=HKG|tcp=77.93ms|httping=79.27ms
