host,port,endpoint,source,declared_region,declared_speed_MBps,measured_speed_MBps,latency_ms,exit_ip,exit_country_code,exit_region_name,cf_colo,geo_evidence,geo_policy,geo_selected_provider,geo_fallback_used,geo_cache_status,geo_hint_country,geo_hint_source,is_cloudflare,service_score,google_ok,youtube_ok,gpt_ok,service_error,selection_stage,status,error,raw_line
172.65.86.166,8443,172.65.86.166:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.86.166:8443#未知|cfst|colo=UNKNOWN|tcp=78.21ms|httping=ms
172.65.68.188,8443,172.65.68.188:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.68.188:8443#未知|cfst|colo=UNKNOWN|tcp=78.4ms|httping=ms
172.65.162.241,8443,172.65.162.241:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.162.241:8443#未知|cfst|colo=UNKNOWN|tcp=78.41ms|httping=ms
172.65.108.199,8443,172.65.108.199:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.108.199:8443#未知|cfst|colo=UNKNOWN|tcp=78.49ms|httping=ms
172.65.93.18,8443,172.65.93.18:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.93.18:8443#未知|cfst|colo=UNKNOWN|tcp=78.5ms|httping=ms
172.65.158.141,8443,172.65.158.141:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.158.141:8443#未知|cfst|colo=UNKNOWN|tcp=78.52ms|httping=ms
172.65.156.210,8443,172.65.156.210:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.156.210:8443#未知|cfst|colo=UNKNOWN|tcp=78.43ms|httping=ms
172.65.131.84,8443,172.65.131.84:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.131.84:8443#未知|cfst|colo=UNKNOWN|tcp=78.53ms|httping=ms
172.65.157.170,8443,172.65.157.170:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.157.170:8443#未知|cfst|colo=UNKNOWN|tcp=78.53ms|httping=ms
172.65.212.108,8443,172.65.212.108:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.212.108:8443#未知|cfst|colo=UNKNOWN|tcp=78.53ms|httping=ms
172.65.227.8,8443,172.65.227.8:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.227.8:8443#未知|cfst|colo=UNKNOWN|tcp=78.53ms|httping=ms
162.159.58.0,8443,162.159.58.0:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,162.159.58.0:8443#未知|cfst|colo=UNKNOWN|tcp=78.53ms|httping=ms
172.65.235.180,8443,172.65.235.180:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.235.180:8443#未知|cfst|colo=UNKNOWN|tcp=78.53ms|httping=ms
172.65.163.91,8443,172.65.163.91:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.163.91:8443#未知|cfst|colo=UNKNOWN|tcp=78.56ms|httping=ms
172.65.147.182,8443,172.65.147.182:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.147.182:8443#未知|cfst|colo=UNKNOWN|tcp=78.54ms|httping=ms
172.65.182.181,8443,172.65.182.181:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.182.181:8443#未知|cfst|colo=UNKNOWN|tcp=78.57ms|httping=ms
172.65.249.231,8443,172.65.249.231:8443,cfst_unknown_8443,,,,,,,未知,,,youtube_primary_ping0_ipwhois_fallback_v1,,False,,,,True,0,,,,,,latency_failed,HTTP Error 503: Service Unavailable,172.65.249.231:8443#未知|cfst|colo=UNKNOWN|tcp=78.57ms|httping=ms
