cfst_colo,declared_country,tested_count,true_same_count,true_diff_count,unknown_count,match_rate,unknown_rate,recommended_trust,true_country_top
AMS,,1,0,0,1,0.000000,1.000000,False,
ARN,,1,0,0,1,0.000000,1.000000,False,
DEN,US,4,2,0,2,0.500000,0.500000,False,US:2
FRA,DE,1,0,0,1,0.000000,1.000000,False,
HAM,,1,0,0,1,0.000000,1.000000,False,
HKG,HK,60,45,15,0,0.750000,0.000000,False,HK:45|VN:15
KIX,JP,1,1,0,0,1.000000,0.000000,False,JP:1
LAX,US,2,0,0,2,0.000000,1.000000,False,
NRT,JP,4,4,0,0,1.000000,0.000000,False,JP:4
SIN,SG,60,55,0,5,0.916667,0.083333,False,SG:55
SJC,US,3,3,0,0,1.000000,0.000000,False,US:3
UNKNOWN,,297,0,3,294,0.000000,0.989899,False,HK:2|SG:1
