true_exit_country,total_nodes,healthy_nodes,failed_nodes,unresolved_nodes,cooldown_nodes,selected_count,min_proxy_latency_ms,median_proxy_latency_ms
AT,2,2,0,0,0,2,1237,1254
AU,1,1,0,0,0,1,1185,1185
DE,194,194,0,0,0,20,973,1102
ES,3,3,0,0,0,3,756,1441
FR,31,31,0,0,0,30,1248,1348
GB,2,2,0,0,0,2,1410,1433
HK,7498,7490,8,0,0,20,435,471
IN,9,9,0,0,0,9,447,1281
JP,212,212,0,0,0,30,462,704
PL,2,2,0,0,0,2,1189,1250
PT,1,1,0,0,0,1,1446,1446
QA,1,1,0,0,0,1,1452,1452
SA,35,35,0,0,0,30,734,1293
SG,3845,3845,0,0,0,30,457,612
TW,7,7,0,0,0,7,531,563
UNKNOWN,15554,0,15503,51,0,0,,
US,488,487,1,0,0,30,698,1279
VN,3002,3002,0,0,0,30,432,465
